Order ID,Customer Name,Category,Sub Category,Cities,Order Date,Region,Sales,Discount,Profit,States,Postal Code
OD1,Harish,Oil & Masala,Masalas,Louisville,11/08/2017,South,1254,0.12,401.28,New Hampshire,NH
OD2,Sudha,Beverages,Health Drinks,Chicago,11/08/2017,Midwest,749,0.18,149.8,Rhode Island,RI
OD3,Hussain,Food Grains,Flour,Des Moines,06/12/2017,Midwest,2360,0.21,165.2,Maine,ME
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Wilmington,10/11/2016,South,896,0.25,89.6,North Carolina,NC
OD5,Ridhesh,Food Grains,Organic Staples,Jackson,10/11/2016,South,2355,0.26,918.45,Oklahoma,OK
OD6,Adavan,Food Grains,Organic Staples,Indianapolis,06/09/2015,Midwest,2305,0.26,322.7,Washington,WA
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Phoenix,06/09/2015,West,826,0.33,346.92,South Carolina,SC
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Denver,06/09/2015,West,1847,0.32,147.76,Hawaii,HI
OD9,Hafiz,Bakery,Biscuits,Los Angeles,06/09/2015,West,791,0.23,181.93,New York,NY
OD10,Krithika,Bakery,Cakes,Portland,06/09/2015,Northeast,1795,0.27,484.65,Arizona,AZ
OD11,Ganesh,Snacks,Chocolates,Wichita,06/09/2015,West,1903,0.13,437.69,North Dakota,ND
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Miami,06/09/2015,South,701,0.1,308.44,Delaware,DE
OD13,Sharon,Snacks,Cookies,Detroit,4/15/2018,Midwest,1659,0.19,315.21,Texas,TX
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Hartford,12/05/2017,Northeast,1277,0.25,63.85,Indiana,IN
OD15,Sundar,"Eggs, Meat & Fish",Chicken,Honolulu,11/22/2016,West,831,0.22,207.75,Massachusetts,MA
OD16,Ramesh,Oil & Masala,Edible Oil & Ghee,Boise,11/22/2016,West,1440,0.11,100.8,Ohio,OH
